index,CPSI,version,year,type
8,1.899312,top20v112,2012,chorus
9,1.782741,top20v112,2012,chorus
10,1.867808,top20v112,2012,chorus
11,2.778905,top20v112,2012,chorus
12,1.767289,top20v112,2012,chorus
13,1.899436,top20v112,2012,chorus
14,1.693519,top20v112,2012,chorus
15,1.991798,top20v112,2012,chorus
16,1.749477,top20v112,2012,chorus
17,2.407543,top20v112,2012,chorus
18,1.942301,top20v112,2012,chorus
19,1.904856,top20v112,2012,chorus
0,1.810775,top20v121,2012,chorus
1,1.751248,top20v121,2012,chorus
2,1.659592,top20v121,2012,chorus
3,1.444633,top20v121,2012,chorus
4,1.459132,top20v121,2012,chorus
5,1.591894,top20v121,2012,chorus
6,1.37581,top20v121,2012,chorus
7,1.850048,top20v121,2012,chorus
8,1.505356,top20v121,2012,chorus
9,1.573119,top20v121,2012,chorus
10,1.329325,top20v121,2012,chorus
11,2.22252,top20v121,2012,chorus
12,1.449125,top20v121,2012,chorus
13,1.760987,top20v121,2012,chorus
14,1.56648,top20v121,2012,chorus
15,1.696709,top20v121,2012,chorus
16,1.470122,top20v121,2012,chorus
17,1.903056,top20v121,2012,chorus
18,1.564221,top20v121,2012,chorus
19,1.578143,top20v121,2012,chorus
0,2.176003,top20v122,2012,chorus
1,2.13196,top20v122,2012,chorus
2,1.689688,top20v122,2012,chorus
3,1.916434,top20v122,2012,chorus
4,1.737693,top20v122,2012,chorus
5,1.743255,top20v122,2012,chorus
6,1.933031,top20v122,2012,chorus
7,2.498642,top20v122,2012,chorus
8,1.688918,top20v122,2012,chorus
9,1.75369,top20v122,2012,chorus
10,1.822401,top20v122,2012,chorus
11,2.748924,top20v122,2012,chorus
12,1.732691,top20v122,2012,chorus
13,1.843713,top20v122,2012,chorus
14,1.718753,top20v122,2012,chorus
15,1.941815,top20v122,2012,chorus
16,1.611914,top20v122,2012,chorus
17,2.416036,top20v122,2012,chorus
18,1.895628,top20v122,2012,chorus
19,1.864716,top20v122,2012,chorus
0,2.377579,top20v131,2012,chorus
1,2.054278,top20v131,2012,chorus
2,2.328265,top20v131,2012,chorus
3,1.791184,top20v131,2012,chorus
4,1.719097,top20v131,2012,chorus
5,1.972071,top20v131,2012,chorus
6,1.543098,top20v131,2012,chorus
7,1.88546,top20v131,2012,chorus
8,1.828852,top20v131,2012,chorus
9,1.971055,top20v131,2012,chorus
10,1.611558,top20v131,2012,chorus
11,1.775021,top20v131,2012,chorus
12,1.705154,top20v131,2012,chorus
13,1.643869,top20v131,2012,chorus
14,1.858943,top20v131,2012,chorus
15,2.207604,top20v131,2012,chorus
16,1.716521,top20v131,2012,chorus
17,1.766087,top20v131,2012,chorus
18,1.935463,top20v131,2012,chorus
19,2.040685,top20v131,2012,chorus
0,1.442909,top20v132,2012,chorus
1,1.466513,top20v132,2012,chorus
